Date,Open,High,Low,Close,Volume
2020-01-02,74.06,75.15,73.80,75.09,135480400
2020-01-03,74.29,75.14,74.13,74.36,146322800
2020-01-06,73.45,74.99,73.19,74.95,118387200
2020-01-07,74.96,75.22,74.37,74.60,108872000
2020-01-08,74.29,76.11,74.29,75.80,132079200
2020-01-09,76.81,77.61,76.55,77.41,170108400
2020-01-10,77.65,78.17,77.06,77.58,140644800
2020-01-13,77.91,79.27,77.79,79.24,121532000
2020-01-14,79.18,79.39,78.81,78.17,161954400
2020-01-15,77.96,78.88,77.39,77.84,121923600
2020-01-16,78.40,78.92,78.02,78.81,108829200
2020-01-17,79.07,79.68,78.75,79.68,137816400
2020-01-21,79.30,79.75,78.47,79.14,110843200
2020-01-22,79.64,79.88,79.33,79.43,101832400
2020-01-23,79.48,79.89,79.20,79.81,104472000
2020-01-24,80.06,80.83,79.38,79.58,146537600
2020-01-27,77.51,77.94,76.22,77.24,161940000
2020-01-28,78.15,79.60,78.05,79.42,162234000
2020-01-29,81.11,81.96,80.35,81.08,216229200
2020-01-30,80.14,81.02,79.69,80.97,126743200
2020-01-31,80.23,80.67,77.07,77.38,199588400
2020-02-03,76.07,78.37,75.56,77.17,173985600
2020-02-04,78.83,79.91,78.41,79.71,136616400
2020-02-05,80.88,81.19,79.74,80.36,118826800
2020-02-06,80.64,81.31,80.10,81.30,118709600
2020-02-07,80.59,80.85,79.50,80.01,115730400
2020-02-10,77.93,78.92,77.39,80.39,125862800
2020-02-11,80.90,81.27,80.30,80.90,104348000
2020-02-12,81.11,82.35,81.04,82.00,118975600
2020-02-13,81.81,82.43,81.47,81.80,94323200
2020-02-14,81.18,81.44,80.90,81.24,89312400
2020-02-18,79.75,80.36,79.26,79.90,109348800
2020-02-19,80.00,81.14,79.96,80.95,94323200
2020-02-20,80.01,80.39,78.97,80.31,115393200
2020-02-21,79.29,79.60,77.63,78.26,139079600
2020-02-24,74.32,76.04,72.31,74.54,222195200
2020-02-25,75.28,75.62,71.53,73.01,211814400
2020-02-26,73.88,74.95,73.00,73.16,182971200
2020-02-27,70.28,71.50,68.24,68.38,320605600
2020-02-28,66.02,69.98,64.90,68.34,426884000
2020-03-02,70.57,75.36,69.43,74.70,341397200
2020-03-03,75.92,76.23,71.45,72.33,319475600
2020-03-04,74.11,75.85,73.28,75.68,216229600
2020-03-05,73.88,74.68,72.85,73.23,185990000
2020-03-06,70.50,72.71,70.30,72.26,224805600
2020-03-09,65.93,69.52,65.75,66.54,318474000
2020-03-10,71.00,72.71,68.67,71.33,267781600
2020-03-11,68.44,69.95,67.29,68.86,251270800
2020-03-12,65.06,67.50,64.05,64.36,378595600
2020-03-13,67.05,72.71,64.51,70.33,370732000
2020-03-16,60.88,62.50,60.18,60.55,322423600
